AG Part#,SKU,Name,Type,Source,Supplier Part #,Secondary Supplier Part #,Cost per,Purchase Unit,Usage Qty per Unit,Usage Unit,COGS per Unit,Order Date,Department,Secondary Source,Notes,Stock Item,Utilized In
93,,Disposable Protective Suit (L-XL-XXL) Tyvex,,McMaster,5231T37,,,,,,,,Facilities,,,No,
91,,Disposable Sleeve- Tyvek PPE 18,,McMaster,5583T18,,,,,,,,Facilities,Uline,S-13893E,No,
113,,Drill Bit- 5mm diamond coated,,McMaster,3162A59,,,,,,,,PL3,,,No,
114,,Drill Bit- 7 gauge 3 5/8 long (uncoated),,McMaster,2901A178,,,,,,,,PL1,,,No,
115,,Drill Bit- 7/8- Widia part 14289- reduced shank- coated,,Grainger,6WUX9,,,,,,,,PL3,,,No,
548,,Drill adapter- tight-clearance right angle,,McMaster,8787A14,,,,,,,,PL1,PL2,,No,
580,,Drill bit 3/64 x 1 3/4 uncoated,,McMaster,8870A13,,,,,,,,PL2,,,No,
109,,Drill bit- 1/4 uncoated- 4OAL,,McMaster,8870A127,,,,,,,,PL3,,,No,
549,,Drill bit- 1/4 x 2 3/8 threaded shank,,McMaster,8824A44,,,,,,,,,,,No,
117,,Drill bit- Size Q x 4 3/4 long (uncoated),,McMaster,30595A48,,,,,,,,PL3,,,No,
118,,Drill chuck- 1/8-5/8 keyless,,Precision Matthews,KDCRS-16R8T,,,,,,,,,,,No,
119,,Drum Cradle- Steel,,Uline,H-4203,,,,,,,,PL1,,,No,
120,,Drum Pump- Steel,,Uline,H-1235,,,,,,,,PL1,PL3,,No,
121,,Dry Erase Markers- black,,McMaster,5929T87,,,,,,,,Admin,,,No,
122,,Dry Film Lubricant- 10 oz can,,McMaster,1289K17,,,,,,,,Facilities,,,No,
123,,Duracell® D Alkaline Batteries 12/box,,Uline,S-15607,,,,,,,,Facilities,,,No,
124,,Dust pan,,McMaster,72805T81,,,,,,,,Facilities,,,No,
125,,Dust pan- upright 16x14x6.5- 23 handle,,McMaster,7395T15,,,,,,,,Facilities,,,No,
126,,Ear Muffs,,Uline,S-20449,,,,,,,,Facilities,,,No,
127,,Ear plugs- corded,,Uline,S-19874,,,,,,,,Facilities,,,No,
128,,Ear plugs-disposable,,Uline,,,,,,,,,Facilities,,,No,
572a,,Elevator foam core,,,,,,,,,,,,,,No,
132,,End Mill 1/2- 3F- 1 1/4 LOC- 3 long,,ZRN,Lakeshore Carbide,,,,,,,,4 on hand,PL1,,No,
129,,End Mill 1/2- 3F- 2 LOC- 4 long- TiAlN,,Amazon,,,,,,,,,,,,No,
133,,End Mill 1/4 Square ZRN,,Machining Resources,41463,,,,,,,,,,,No,
148,,End Mill 13mm- 4F-  30m LOC- 88mm long- ALTiN,,Atlas Cutting Tools,A71487,,,,,,,,,,,No,
149,,End Mill 19/32- 4F- 1 3/8 LOC- 3 3/8 long- uncoated,,MSC,8762224,,,,,,,,,,,No,
159,,End Mill 3/16- 3F- 1 1/8 LOC- 3 long- ball- uncoated,,Zoro,G4496499,,,,,,,,,,,No,
143,,End Mill 3/8 dovetail 45 degree straight thread,,McMaster,2984A17,,,,,,,,,,,No,
144,,End Mill 3/8 square- ZRN 3 flute,,Machining Resources,41733,,,,,,,,,,,No,
145,,End Mill 3/8 uncoated (Widin) 4FL Sq.- 1-1/8 FL- 3-1/2 OAL,,Machining Resources,EA304024L,,,,,,,,PL1,,,No,
152,,End Mill 3/8- 3F- 1 1/2 LOC- 3 1/2 long,,Machining Resources,E5G95908,,,,,,,,PL3,,,No,
155,,End Mill 5/8- 3F- 1 5/8 LOC- 3 1/2 long,,Machining Resources,E5G97801,,,,,,,,PL3,,,No,
147,,End Mill 5/8- 3F- 1 5/8 LOC- 3 1/2 long- corner radius,,Lakeshore,360058X,,,,,,,,PL3,All Industrial,25055852,No,
158,,End Mill 5/8- 3F- 2 1/2 LOC- 5 long- corner radius 37° helix,,Zoro,E5G97807,,,,,,,,,,,No,
162a,,Epoxy Hardener 8402,,Premium Resin Tech,RDH-8402,,,,,,,,PL1,,,No,
163,,Evercoat 440,,English Color,440,,,,,,,,PL1,PL2,,No,
586,,Exacto Knives,,,,,,,,,,,,,,No,
164,,Exhaust Fan Motor,,Electric Motor Wholesale,13037126,,,,,,,,Facilities,,,No,
165,,Fan- XPower P-80A floor blower,,Amazon,B076VR5PJC,,,,,,,,Facilities,,,No,
284,,Fiberglass - Prepreg - Fiberglass Woven (120 Glass) - 38 Wide 0.005 Thick - 40% Resin Content w/out pigment (185 gsm OAW) - Ne\A/port 301 250F Resin System,Purchased,Rock West Composites,14015,,,,,,,,PL2,,,No,PL2
551(6),,Fiberglass Aileron Seam,,,,,,,,,,,PL2,,,No,
551(5),,Fiberglass Aileron Shell,,,,,,,,,,,PL2,,,No,
551(7),,Fiberglass Bandit fuselage piece 1,,SHD,,,,,,,,,PL2,,,No,
551(8),,Fiberglass Bandit fuselage piece 2,,SHD,,,,,,,,,PL2,,,No,
551a,,Fiberglass Bandit wing shell,,SHD,,,,,,,,,PL2,,,No,
553,,Fiberglass Cloth- 3 oz E Glass,,US Composites,FG-C0338,,,,,,,,PL2,,,No,
551c,,Fiberglass Horizontal stabilizer shell,,SHD,,,,,,,,,PL2,,,No,
551d,,Fiberglass Horizontal stabilizer shell w/pre-cut slits,,SHD,,,,,,,,,PL2,,,No,
551(4),,Fiberglass Rudder Seam,,,,,,,,,,,PL2,,,No,
551(3),,Fiberglass Rudder Shell,,,,,,,,,,,PL2,,,No,
551(2),,Fiberglass elevator seam 20 5/8 x 4,,,,,,,,,,,PL2,,,No,
551(1),,Fiberglass elevator shell 20 5/8 x 6 5/8,,,,,,,,,,,PL2,,,No,
551e,,Fiberglass horizontal stabilizer reinforcement 4 x 2 w/holes,,SHD,,,,,,,,,PL2,,,No,
551f,,Fiberglass vertical stabilizer shell,,SHD,,,,,,,,,PL2,,,No,
168,,File 8 flat,,Amazon,,,,,,,,,PL1,,,No,
169,,File 8 half-round,,Amazon,,,,,,,,,PL1,,,No,
170,,File 8 round,,Amazon,,,,,,,,,PL1,,,No,
171,,Finger cots,,Amazon,X002EHMB73,,,,,,,,,,,No,
173,,Foam Roll- 12 x 250',,Uline,S-11822,,,,,,,,,,,No,
174,,Foam pour 16 lb Part A & B,,US Composites,FOAM-1680,,,,,,,,PL1,,,No,
175,,Foam- pour 4 lb kit,,US Composites,FOAM-0480,,,,,,,,PL1,,,No,
570,,Fuselage- 10 tube,,,,,,,,,,,,,,No,
176,,Glass Cleaner- Gleme 20 oz (case of 12),,American Paper & Twine,763128,,,,,,,,,,,No,
177,,Glass Cleaner- Sprayway 19 oz,,English Color,50,,,,,,,,,,,No,
178,,Glass Cleaner- Uline 19 oz,,Uline,S-22344,,,,,,,,,,,No,
185,,Gloves- Coolflex size  M,,Uline,S-21083-M,,,,,,,,,,,No,
186,,Gloves- Hyflex size 10,,Uline,S-20733-X,,,,,,,,,,,No,
187,,Gloves- Hyflex size 9,,Uline,S-20733-L,,,,,,,,,,,No,
180,,Gloves- black latex Raven size Large,,English Color,66518,,,,,,,,,,,No,
181,,Gloves- black latex Raven- size Medium,,English Color,66517,,,,,,,,,,,No,
182,,Gloves- black latex Raven- size Small,,English Color,,,,,,,,,,,,No,
183,,Gloves- black latex Raven- size XXL,,English Color,66520,,,,,,,,,,,No,
184,,Gloves- chemical resistant (yellow),,Uline,S-9721,,,,,,,,PL1,,,No,
188,,Goo Gone - 1 Gallon,,Uline,S-12787,,,,,,,,,,,No,
192,,Grease- Moly Syngard 2000,,Schaeffer #248,,,,,,,,0248-01-01,$9.99,,,No,
578,,HIghlighters,,Quill,,,,,,,,,,,,No,
